id;cep;street;number;neighborhood;city;state
1;mindshare Interactions Versatile;Wilderman Spring;Rubber line applications;Sports withdrawal Architect;Surprise;Michigan Corporate Mandatory
2;Health didactic;Naomi Drives;Chair;Tasty Car Table;Russelbury;Berkshire Designer the
3;solution policy Grove;Friesen Street;Timor-Leste;Skyway Account;Baileymouth;contextually-based
4;synthesizing;Veum Turnpike;Avon;Account Assimilated optical;East Gerdaport;USB
5;Dinar;Lucie Dale;object-oriented override;optical;New Rozellashire;state Savings
6;invoice;Hassan Spring;Borders Greece;Identity calculate bus;Lake Madgestad;boliviano
7;time-frame;Wyman Junctions;Cuban Metal;Principal Personal;Pharr;Advanced
8;Gloves navigating;Will Inlet;generating Computer;open-source Montana;West America;compressing Unbranded
9;withdrawal Marketing Gold;Amos Summit;Computers CSS;Extended copying optimize;Port Tommieton;visionary Soft olive
10;Anguilla;Purdy Port;maximize Qatar Awesome;Keyboard;Gaylordfort;Norwegian
